Abruzzo:#A6CEE3
Basilicata:#F28073
Bolzano:#CAB2D6
Calabria:#00B98F
Campania:#2BADFC
Emilia romagna:#8AB1FF
Friuli venezia giulia:#75A3FF
Lazio:#FFFF99
Liguria:#00B7E0
Lombardia:#52AE4C
Marche:#FF7F00
Molise:#F579A5
Piemonte:#FBA9A8
Puglia:#B2DF8A
Sardegna:#E31A1C
Sicilia:#B15928
Toscana:#1F78B4
Trento:#BD8FEE
Umbria:#6A3D9A
Valle d'aosta:#66B45F
Veneto:#FDC885
